"STATION","DATE","TMAX","TMIN","TOBS","WESD","WESF"
"USC00410433","2005-06-16",,,,,
"USC00410433","2005-06-17",,,,,
"USC00410433","2005-06-20",,,,,
"USC00410433","2005-06-21",,,,,
"USC00410433","2005-06-22",,,,,
"USC00410433","2005-06-23",,,,,
"USC00410433","2005-06-24",,,,,
"USC00410433","2005-06-25",,,,,
"USC00410433","2005-06-26",,,,,
"USC00410433","2005-06-27",,,,,
"USC00410433","2005-06-28",,,,,
"USC00410433","2005-06-29",,,,,
"USC00410433","2005-06-30",,,,,
"USC00410433","2005-07-01",,,,,
"USC00410433","2005-07-06",,,,,
"USC00410433","2005-07-07",,,,,
"USC00410433","2005-07-08",,,,,
"USC00410433","2005-07-12",,,,,
"USC00410433","2005-07-13",,,,,
"USC00410433","2005-07-15",,,,,
"USC00410433","2005-07-18",,,,,
"USC00410433","2005-07-19",,,,,
"USC00410433","2005-07-20",,,,,
"USC00410433","2005-07-21",,,,,
"USC00410433","2005-07-22",,,,,
"USC00410433","2005-07-25",,,,,
"USC00410433","2005-07-27",,,,,
"USC00410433","2005-07-28",,,,,
"USC00410433","2005-07-29",,,,,
"USC00410433","2005-08-09",,,,,
"USC00410433","2005-08-10",,,,,
"USC00410433","2005-08-11",,,,,
"USC00410433","2005-08-15",,,,,
"USC00410433","2005-08-16",,,,,
"USC00410433","2005-08-17",,,,,
"USC00410433","2005-08-18",,,,,
"USC00410433","2005-08-22",,,,,
"USC00410433","2005-08-23",,,,,
"USC00410433","2005-08-24",,,,,
"USC00410433","2005-08-25",,,,,
"USC00410433","2005-08-26",,,,,
"USC00410433","2005-09-06",,,,,
"USC00410433","2005-09-07",,,,,
"USC00410433","2005-09-08",,,,,
"USC00410433","2005-09-12",,,,,
"USC00410433","2005-09-13",,,,,
"USC00410433","2005-09-15",,,,,
"USC00410433","2005-09-16",,,,,
"USC00410433","2005-09-19",,,,,
"USC00410433","2005-09-22",,,,,
"USC00410433","2005-09-23",,,,,
"USC00410433","2005-09-26",,,,,
"USC00410433","2005-09-28",,,,,
"USC00410433","2005-09-29",,,,,
"USC00410433","2005-09-30",,,,,
"USC00410433","2005-10-01",,,,,
"USC00410433","2005-10-02",,,,,
"USC00410433","2005-10-03",,,,,
"USC00410433","2005-10-04",,,,,
"USC00410433","2005-10-05",,,,,
"USC00410433","2005-10-06",,,,,
"USC00410433","2005-10-07",,,,,
"USC00410433","2005-10-08",,,,,
"USC00410433","2005-10-09",,,,,
"USC00410433","2005-10-10",,,,,
"USC00410433","2005-10-11",,,,,
"USC00410433","2005-10-12",,,,,
"USC00410433","2005-10-13",,,,,
"USC00410433","2005-10-14",,,,,
"USC00410433","2005-10-15",,,,,
"USC00410433","2005-10-16",,,,,
"USC00410433","2005-10-17",,,,,
"USC00410433","2005-10-18",,,,,
"USC00410433","2005-10-19",,,,,
"USC00410433","2005-10-20",,,,,
"USC00410433","2005-10-21",,,,,
"USC00410433","2005-10-22",,,,,
"USC00410433","2005-10-23",,,,,
"USC00410433","2005-10-24",,,,,
"USC00410433","2005-10-25",,,,,
"USC00410433","2005-10-26",,,,,
"USC00410433","2005-10-27",,,,,
"USC00410433","2005-10-28",,,,,
"USC00410433","2005-10-29",,,,,
"USC00410433","2005-10-30",,,,,
"USC00410433","2005-10-31",,,,,
"USC00410433","2005-11-01",,,,,
"USC00410433","2005-11-02",,,,,
"USC00410433","2005-11-03",,,,,
"USC00410433","2005-11-15",,,,,
"USC00410433","2005-11-17",,,,,
"USC00410433","2005-11-18",,,,,
"USC00410433","2005-11-23",,,,,
"USC00410433","2005-11-30",,,,,
"USC00410433","2005-12-01",,,,,
"USC00410433","2005-12-06",,,,,
"USC00410433","2005-12-08",,,,,
"USC00410433","2005-12-09",,,,,
"USC00410433","2005-12-13",,,,,
"USC00410433","2005-12-14",,,,,
"USC00410433","2005-12-16",,,,,
"USC00410433","2005-12-20",,,,,
"USC00410433","2005-12-22",,,,,
"USC00410433","2006-01-01",,,,,
"USC00410433","2006-01-02",,,,,
"USC00410433","2006-01-03",,,,,
"USC00410433","2006-01-04",,,,,
"USC00410433","2006-01-05",,,,,
"USC00410433","2006-01-06",,,,,
"USC00410433","2006-01-07",,,,,
"USC00410433","2006-01-08",,,,,
"USC00410433","2006-01-09",,,,,
"USC00410433","2006-01-10",,,,,
"USC00410433","2006-01-11",,,,,
"USC00410433","2006-01-12",,,,,
"USC00410433","2006-01-13",,,,,
"USC00410433","2006-01-14",,,,,
"USC00410433","2006-01-15",,,,,
"USC00410433","2006-01-16",,,,,
"USC00410433","2006-01-17",,,,,
"USC00410433","2006-01-18",,,,,
"USC00410433","2006-01-19",,,,,
"USC00410433","2006-01-20",,,,,
"USC00410433","2006-01-21",,,,,
"USC00410433","2006-01-22",,,,,
"USC00410433","2006-01-23",,,,,
"USC00410433","2006-01-25",,,,,
"USC00410433","2006-01-26",,,,,
"USC00410433","2006-01-27",,,,,
"USC00410433","2006-01-28",,,,,
"USC00410433","2006-01-29",,,,,
"USC00410433","2006-01-30",,,,,
"USC00410433","2006-01-31",,,,,
"USC00410433","2006-02-01",,,,,
"USC00410433","2006-02-02",,,,,
"USC00410433","2006-02-03",,,,,
"USC00410433","2006-02-04",,,,,
"USC00410433","2006-02-05",,,,,
"USC00410433","2006-02-06",,,,,
"USC00410433","2006-02-07",,,,,
"USC00410433","2006-02-08",,,,,
"USC00410433","2006-02-09",,,,,
"USC00410433","2006-02-10",,,,,
"USC00410433","2006-02-11",,,,,
"USC00410433","2006-02-12",,,,,
"USC00410433","2006-02-13",,,,,
"USC00410433","2006-02-14",,,,,
"USC00410433","2006-02-15",,,,,
"USC00410433","2006-02-16",,,,,
"USC00410433","2006-02-17",,,,,
"USC00410433","2006-02-18",,,,,
"USC00410433","2006-02-19",,,,,
"USC00410433","2006-02-20",,,,,
"USC00410433","2006-02-21",,,,,
"USC00410433","2006-02-22",,,,,
"USC00410433","2006-02-23",,,,,
"USC00410433","2006-02-24",,,,,
"USC00410433","2006-02-25",,,,,
"USC00410433","2006-02-26",,,,,
"USC00410433","2006-02-27",,,,,
"USC00410433","2006-02-28",,,,,
"USC00410433","2006-03-01",,,,,
"USC00410433","2006-03-02",,,,,
"USC00410433","2006-03-03",,,,,
"USC00410433","2006-03-04",,,,,
"USC00410433","2006-03-05",,,,,
"USC00410433","2006-03-06",,,,,
"USC00410433","2006-03-07",,,,,
"USC00410433","2006-03-08",,,,,
"USC00410433","2006-03-09",,,,,
"USC00410433","2006-03-10",,,,,
"USC00410433","2006-03-11",,,,,
"USC00410433","2006-03-12",,,,,
"USC00410433","2006-03-13",,,,,
"USC00410433","2006-03-14",,,,,
"USC00410433","2006-03-15",,,,,
"USC00410433","2006-03-16",,,,,
"USC00410433","2006-03-17",,,,,
"USC00410433","2006-03-18",,,,,
"USC00410433","2006-03-19",,,,,
"USC00410433","2006-03-20",,,,,
"USC00410433","2006-03-21",,,,,
"USC00410433","2006-03-22",,,,,
"USC00410433","2006-03-23",,,,,
"USC00410433","2006-03-24",,,,,
"USC00410433","2006-03-25",,,,,
"USC00410433","2006-03-26",,,,,
"USC00410433","2006-03-27",,,,,
"USC00410433","2006-03-28",,,,,
"USC00410433","2006-03-29",,,,,
"USC00410433","2006-03-30",,,,,
"USC00410433","2006-03-31",,,,,
"USC00410433","2006-04-01",,,,,
"USC00410433","2006-04-02",,,,,
"USC00410433","2006-04-03",,,,,
"USC00410433","2006-04-04",,,,,
"USC00410433","2006-04-05",,,,,
"USC00410433","2006-04-06",,,,,
"USC00410433","2006-04-07",,,,,
"USC00410433","2006-04-08",,,,,
"USC00410433","2006-04-10",,,,,
"USC00410433","2006-04-11",,,,,
"USC00410433","2006-04-12",,,,,
"USC00410433","2006-04-13",,,,,
"USC00410433","2006-04-19",,,,,
"USC00410433","2006-04-21",,,,,
"USC00410433","2006-04-24",,,,,
"USC00410433","2006-04-25",,,,,
"USC00410433","2006-04-27",,,,,
"USC00410433","2006-05-05",,,,,
"USC00410433","2006-05-08",,,,,
"USC00410433","2006-05-10",,,,,
"USC00410433","2006-05-15",,,,,
"USC00410433","2006-05-17",,,,,
"USC00410433","2006-05-19",,,,,
"USC00410433","2006-05-22",,,,,
"USC00410433","2006-05-23",,,,,
"USC00410433","2006-05-24",,,,,
"USC00410433","2006-05-25",,,,,
"USC00410433","2006-05-30",,,,,
"USC00410433","2006-05-31",,,,,
"USC00410433","2006-06-01",,,,,
"USC00410433","2006-06-02",,,,,
"USC00410433","2006-06-06",,,,,
"USC00410433","2006-06-07",,,,,
"USC00410433","2006-06-17",,,,,
"USC00410433","2006-06-18",,,,,
"USC00410433","2006-06-19",,,,,
"USC00410433","2006-06-20",,,,,
"USC00410433","2006-06-21",,,,,
"USC00410433","2006-06-22",,,,,
"USC00410433","2006-06-27",,,,,
"USC00410433","2006-07-07",,,,,
"USC00410433","2006-07-12",,,,,
"USC00410433","2006-07-14",,,,,
"USC00410433","2006-07-17",,,,,
"USC00410433","2006-07-18",,,,,
"USC00410433","2006-07-19",,,,,
"USC00410433","2006-07-25",,,,,
"USC00410433","2006-07-27",,,,,
"USC00410433","2006-07-28",,,,,
"USC00410433","2006-08-01",,,,,
"USC00410433","2006-08-07",,,,,
"USC00410433","2006-08-08",,,,,
"USC00410433","2006-08-09",,,,,
"USC00410433","2006-08-10",,,,,
"USC00410433","2006-08-11",,,,,
"USC00410433","2006-08-14",,,,,
"USC00410433","2006-08-16",,,,,
"USC00410433","2006-08-17",,,,,
"USC00410433","2006-08-18",,,,,
"USC00410433","2006-08-19",,,,,
"USC00410433","2006-08-21",,,,,
"USC00410433","2006-08-29",,,,,
"USC00410433","2006-08-30",,,,,
"USC00410433","2006-08-31",,,,,
"USC00410433","2006-09-01",,,,,
"USC00410433","2006-09-02",,,,,
"USC00410433","2006-09-03",,,,,
"USC00410433","2006-09-04",,,,,
"USC00410433","2006-09-05",,,,,
"USC00410433","2006-09-06",,,,,
"USC00410433","2006-09-07",,,,,
"USC00410433","2006-09-08",,,,,
"USC00410433","2006-09-12",,,,,
"USC00410433","2006-09-18",,,,,
"USC00410433","2006-09-19",,,,,
"USC00410433","2006-09-20",,,,,
"USC00410433","2006-09-21",,,,,
"USC00410433","2006-09-27",,,,,
"USC00410433","2006-10-01",,,,,
"USC00410433","2006-10-02",,,,,
"USC00410433","2006-10-03",,,,,
"USC00410433","2006-10-04",,,,,
"USC00410433","2006-10-05",,,,,
"USC00410433","2006-10-06",,,,,
"USC00410433","2006-10-07",,,,,
"USC00410433","2006-10-08",,,,,
"USC00410433","2006-10-09",,,,,
"USC00410433","2006-10-10",,,,,
"USC00410433","2006-10-11",,,,,
"USC00410433","2006-10-16",,,,,
"USC00410433","2006-10-17",,,,,
"USC00410433","2006-10-18",,,,,
"USC00410433","2006-10-19",,,,,
"USC00410433","2006-10-20",,,,,
"USC00410433","2006-10-23",,,,,
"USC00410433","2006-10-24",,,,,
"USC00410433","2006-10-25",,,,,
"USC00410433","2006-10-26",,,,,
"USC00410433","2006-10-27",,,,,
"USC00410433","2006-10-30",,,,,
"USC00410433","2006-11-01",,,,,
